college-stub	department-stub	program-stub	college-name-short	program-name	program-url
fine-arts-and-communications	design	illustration-bfa	Fine Arts and Communications	Design	Illustration (BFA)	/fine-arts-and-communications/design/illustration-bfa
engineering-and-technology	school-of-technology	industrial-design-bfa	Engineering and Technology	School of Technology	Industrial Design (BFA)	/engineering-and-technology/school-of-technology/industrial-design-bfa
management	information-systems	information-systems-bs-0	Management	Information Systems	Information Systems (BS)	/management/information-systems/information-systems-bs-0
engineering-and-technology	school-of-technology	information-technology-minor	Engineering and Technology	School of Technology	Information Technology (Minor)	/engineering-and-technology/school-of-technology/information-technology-minor
engineering-and-technology	school-of-technology	information-technology-bs	Engineering and Technology	School of Technology	Information Technology (BS)	/engineering-and-technology/school-of-technology/information-technology-bs
humanities	comparative-arts-and-letters	interdisciplinary-humanities-ba	Humanities	Comparative Arts and Letters	Interdisciplinary Humanities (BA)	/humanities/comparative-arts-and-letters/interdisciplinary-humanities-ba
humanities	international-cinema-program	international-cinema-studies-minor	Humanities	International Cinema Program	International Cinema Studies (Minor)	/humanities/international-cinema-program/international-cinema-studies-minor
international-and-area-studies	international-development-program	international-development-minor	International and Area Studies	International Development Program	International Development (Minor)	/international-and-area-studies/international-development-program/international-development-minor
international-and-area-studies	international-relations-program	international-relations-ba	International and Area Studies	International Relations Program	International Relations (BA)	/international-and-area-studies/international-relations-program/international-relations-ba
family-home-and-social-sciences	political-science	international-strategy-and-diplomacy-minor	Family Home and Social Sciences	Political Science	International Strategy and Diplomacy (Minor)	/family-home-and-social-sciences/political-science/international-strategy-and-diplomacy-minor
humanities	french-and-italian	italian-ba	Humanities	French and Italian	Italian (BA)	/humanities/french-and-italian/italian-ba
humanities	french-and-italian	italian-minor	Humanities	French and Italian	Italian (Minor)	/humanities/french-and-italian/italian-minor
humanities	french-and-italian	italian-studies-ba	Humanities	French and Italian	Italian Studies (BA)	/humanities/french-and-italian/italian-studies-ba
humanities	asian-and-near-eastern-languages	japanese-minor	Humanities	Asian and Near Eastern Languages	Japanese (Minor)	/humanities/asian-and-near-eastern-languages/japanese-minor
humanities	asian-and-near-eastern-languages	japanese-ba	Humanities	Asian and Near Eastern Languages	Japanese (BA)	/humanities/asian-and-near-eastern-languages/japanese-ba
humanities	asian-and-near-eastern-languages	japanese-teaching-minor	Humanities	Asian and Near Eastern Languages	Japanese Teaching (Minor)	/humanities/asian-and-near-eastern-languages/japanese-teaching-minor
humanities	asian-and-near-eastern-languages	korean-ba	Humanities	Asian and Near Eastern Languages	Korean (BA)	/humanities/asian-and-near-eastern-languages/korean-ba
humanities	asian-and-near-eastern-languages	korean-minor	Humanities	Asian and Near Eastern Languages	Korean (Minor)	/humanities/asian-and-near-eastern-languages/korean-minor
life-sciences	plant-and-wildlife-sciences	landscape-management-minor	Life Sciences	Plant and Wildlife Sciences	Landscape Management (Minor)	/life-sciences/plant-and-wildlife-sciences/landscape-management-minor
life-sciences	plant-and-wildlife-sciences	landscape-management-bs	Life Sciences	Plant and Wildlife Sciences	Landscape Management (BS)	/life-sciences/plant-and-wildlife-sciences/landscape-management-bs
international-and-area-studies	latin-american-studies-program	latin-american-studies-ba	International and Area Studies	Latin American Studies Program	Latin American Studies (BA)	/international-and-area-studies/latin-american-studies-program/latin-american-studies-ba
